shape,boxes,labels,models,obbs,ops,part_mesh_indices,syms
Bag_1,dropbox/Bag/boxes/1.mat,dropbox/Bag/labels/1.mat,dropbox/Bag/models/13205.obj,dropbox/Bag/obbs/13205.obb,dropbox/Bag/ops/1.mat,dropbox/Bag/part mesh indices/1.mat,dropbox/Bag/syms/1.mat
Bag_10,dropbox/Bag/boxes/10.mat,dropbox/Bag/labels/10.mat,dropbox/Bag/models/13226.obj,dropbox/Bag/obbs/13226.obb,dropbox/Bag/ops/10.mat,dropbox/Bag/part mesh indices/10.mat,dropbox/Bag/syms/10.mat
Bag_100,dropbox/Bag/boxes/100.mat,dropbox/Bag/labels/100.mat,dropbox/Bag/models/9183.obj,dropbox/Bag/obbs/9183.obb,dropbox/Bag/ops/100.mat,dropbox/Bag/part mesh indices/100.mat,dropbox/Bag/syms/100.mat
Bag_101,dropbox/Bag/boxes/101.mat,dropbox/Bag/labels/101.mat,dropbox/Bag/models/9186.obj,dropbox/Bag/obbs/9186.obb,dropbox/Bag/ops/101.mat,dropbox/Bag/part mesh indices/101.mat,dropbox/Bag/syms/101.mat
Bag_102,dropbox/Bag/boxes/102.mat,dropbox/Bag/labels/102.mat,dropbox/Bag/models/9190.obj,dropbox/Bag/obbs/9190.obb,dropbox/Bag/ops/102.mat,dropbox/Bag/part mesh indices/102.mat,dropbox/Bag/syms/102.mat
Bag_103,dropbox/Bag/boxes/103.mat,dropbox/Bag/labels/103.mat,dropbox/Bag/models/9201.obj,dropbox/Bag/obbs/9201.obb,dropbox/Bag/ops/103.mat,dropbox/Bag/part mesh indices/103.mat,dropbox/Bag/syms/103.mat
Bag_104,dropbox/Bag/boxes/104.mat,dropbox/Bag/labels/104.mat,dropbox/Bag/models/9203.obj,dropbox/Bag/obbs/9203.obb,dropbox/Bag/ops/104.mat,dropbox/Bag/part mesh indices/104.mat,dropbox/Bag/syms/104.mat
Bag_105,dropbox/Bag/boxes/105.mat,dropbox/Bag/labels/105.mat,dropbox/Bag/models/9206.obj,dropbox/Bag/obbs/9206.obb,dropbox/Bag/ops/105.mat,dropbox/Bag/part mesh indices/105.mat,dropbox/Bag/syms/105.mat
Bag_106,dropbox/Bag/boxes/106.mat,dropbox/Bag/labels/106.mat,dropbox/Bag/models/9208.obj,dropbox/Bag/obbs/9208.obb,dropbox/Bag/ops/106.mat,dropbox/Bag/part mesh indices/106.mat,dropbox/Bag/syms/106.mat
Bag_107,dropbox/Bag/boxes/107.mat,dropbox/Bag/labels/107.mat,dropbox/Bag/models/9210.obj,dropbox/Bag/obbs/9210.obb,dropbox/Bag/ops/107.mat,dropbox/Bag/part mesh indices/107.mat,dropbox/Bag/syms/107.mat
Bag_108,dropbox/Bag/boxes/108.mat,dropbox/Bag/labels/108.mat,dropbox/Bag/models/9213.obj,dropbox/Bag/obbs/9213.obb,dropbox/Bag/ops/108.mat,dropbox/Bag/part mesh indices/108.mat,dropbox/Bag/syms/108.mat
Bag_109,dropbox/Bag/boxes/109.mat,dropbox/Bag/labels/109.mat,dropbox/Bag/models/9220.obj,dropbox/Bag/obbs/9220.obb,dropbox/Bag/ops/109.mat,dropbox/Bag/part mesh indices/109.mat,dropbox/Bag/syms/109.mat
Bag_11,dropbox/Bag/boxes/11.mat,dropbox/Bag/labels/11.mat,dropbox/Bag/models/8340.obj,dropbox/Bag/obbs/8340.obb,dropbox/Bag/ops/11.mat,dropbox/Bag/part mesh indices/11.mat,dropbox/Bag/syms/11.mat
Bag_110,dropbox/Bag/boxes/110.mat,dropbox/Bag/labels/110.mat,dropbox/Bag/models/9224.obj,dropbox/Bag/obbs/9224.obb,dropbox/Bag/ops/110.mat,dropbox/Bag/part mesh indices/110.mat,dropbox/Bag/syms/110.mat
Bag_111,dropbox/Bag/boxes/111.mat,dropbox/Bag/labels/111.mat,dropbox/Bag/models/9229.obj,dropbox/Bag/obbs/9229.obb,dropbox/Bag/ops/111.mat,dropbox/Bag/part mesh indices/111.mat,dropbox/Bag/syms/111.mat
Bag_112,dropbox/Bag/boxes/112.mat,dropbox/Bag/labels/112.mat,dropbox/Bag/models/9231.obj,dropbox/Bag/obbs/9231.obb,dropbox/Bag/ops/112.mat,dropbox/Bag/part mesh indices/112.mat,dropbox/Bag/syms/112.mat
Bag_113,dropbox/Bag/boxes/113.mat,dropbox/Bag/labels/113.mat,dropbox/Bag/models/9232.obj,dropbox/Bag/obbs/9232.obb,dropbox/Bag/ops/113.mat,dropbox/Bag/part mesh indices/113.mat,dropbox/Bag/syms/113.mat
Bag_114,dropbox/Bag/boxes/114.mat,dropbox/Bag/labels/114.mat,dropbox/Bag/models/9233.obj,dropbox/Bag/obbs/9233.obb,dropbox/Bag/ops/114.mat,dropbox/Bag/part mesh indices/114.mat,dropbox/Bag/syms/114.mat
Bag_115,dropbox/Bag/boxes/115.mat,dropbox/Bag/labels/115.mat,dropbox/Bag/models/9238.obj,dropbox/Bag/obbs/9238.obb,dropbox/Bag/ops/115.mat,dropbox/Bag/part mesh indices/115.mat,dropbox/Bag/syms/115.mat
Bag_116,dropbox/Bag/boxes/116.mat,dropbox/Bag/labels/116.mat,dropbox/Bag/models/9244.obj,dropbox/Bag/obbs/9244.obb,dropbox/Bag/ops/116.mat,dropbox/Bag/part mesh indices/116.mat,dropbox/Bag/syms/116.mat
Bag_117,dropbox/Bag/boxes/117.mat,dropbox/Bag/labels/117.mat,dropbox/Bag/models/9256.obj,dropbox/Bag/obbs/9256.obb,dropbox/Bag/ops/117.mat,dropbox/Bag/part mesh indices/117.mat,dropbox/Bag/syms/117.mat
Bag_118,dropbox/Bag/boxes/118.mat,dropbox/Bag/labels/118.mat,dropbox/Bag/models/9257.obj,dropbox/Bag/obbs/9257.obb,dropbox/Bag/ops/118.mat,dropbox/Bag/part mesh indices/118.mat,dropbox/Bag/syms/118.mat
Bag_119,dropbox/Bag/boxes/119.mat,dropbox/Bag/labels/119.mat,dropbox/Bag/models/9300.obj,dropbox/Bag/obbs/9300.obb,dropbox/Bag/ops/119.mat,dropbox/Bag/part mesh indices/119.mat,dropbox/Bag/syms/119.mat
Bag_12,dropbox/Bag/boxes/12.mat,dropbox/Bag/labels/12.mat,dropbox/Bag/models/8383.obj,dropbox/Bag/obbs/8383.obb,dropbox/Bag/ops/12.mat,dropbox/Bag/part mesh indices/12.mat,dropbox/Bag/syms/12.mat
Bag_120,dropbox/Bag/boxes/120.mat,dropbox/Bag/labels/120.mat,dropbox/Bag/models/9304.obj,dropbox/Bag/obbs/9304.obb,dropbox/Bag/ops/120.mat,dropbox/Bag/part mesh indices/120.mat,dropbox/Bag/syms/120.mat
Bag_121,dropbox/Bag/boxes/121.mat,dropbox/Bag/labels/121.mat,dropbox/Bag/models/9307.obj,dropbox/Bag/obbs/9307.obb,dropbox/Bag/ops/121.mat,dropbox/Bag/part mesh indices/121.mat,dropbox/Bag/syms/121.mat
Bag_122,dropbox/Bag/boxes/122.mat,dropbox/Bag/labels/122.mat,dropbox/Bag/models/9314.obj,dropbox/Bag/obbs/9314.obb,dropbox/Bag/ops/122.mat,dropbox/Bag/part mesh indices/122.mat,dropbox/Bag/syms/122.mat
Bag_123,dropbox/Bag/boxes/123.mat,dropbox/Bag/labels/123.mat,dropbox/Bag/models/9315.obj,dropbox/Bag/obbs/9315.obb,dropbox/Bag/ops/123.mat,dropbox/Bag/part mesh indices/123.mat,dropbox/Bag/syms/123.mat
Bag_124,dropbox/Bag/boxes/124.mat,dropbox/Bag/labels/124.mat,dropbox/Bag/models/9317.obj,dropbox/Bag/obbs/9317.obb,dropbox/Bag/ops/124.mat,dropbox/Bag/part mesh indices/124.mat,dropbox/Bag/syms/124.mat
Bag_125,dropbox/Bag/boxes/125.mat,dropbox/Bag/labels/125.mat,dropbox/Bag/models/9337.obj,dropbox/Bag/obbs/9337.obb,dropbox/Bag/ops/125.mat,dropbox/Bag/part mesh indices/125.mat,dropbox/Bag/syms/125.mat
Bag_126,dropbox/Bag/boxes/126.mat,dropbox/Bag/labels/126.mat,dropbox/Bag/models/9347.obj,dropbox/Bag/obbs/9347.obb,dropbox/Bag/ops/126.mat,dropbox/Bag/part mesh indices/126.mat,dropbox/Bag/syms/126.mat
Bag_127,dropbox/Bag/boxes/127.mat,dropbox/Bag/labels/127.mat,dropbox/Bag/models/9376.obj,dropbox/Bag/obbs/9376.obb,dropbox/Bag/ops/127.mat,dropbox/Bag/part mesh indices/127.mat,dropbox/Bag/syms/127.mat
Bag_128,dropbox/Bag/boxes/128.mat,dropbox/Bag/labels/128.mat,dropbox/Bag/models/9401.obj,dropbox/Bag/obbs/9401.obb,dropbox/Bag/ops/128.mat,dropbox/Bag/part mesh indices/128.mat,dropbox/Bag/syms/128.mat
Bag_129,dropbox/Bag/boxes/129.mat,dropbox/Bag/labels/129.mat,dropbox/Bag/models/9407.obj,dropbox/Bag/obbs/9407.obb,dropbox/Bag/ops/129.mat,dropbox/Bag/part mesh indices/129.mat,dropbox/Bag/syms/129.mat
Bag_13,dropbox/Bag/boxes/13.mat,dropbox/Bag/labels/13.mat,dropbox/Bag/models/8408.obj,dropbox/Bag/obbs/8408.obb,dropbox/Bag/ops/13.mat,dropbox/Bag/part mesh indices/13.mat,dropbox/Bag/syms/13.mat
Bag_130,dropbox/Bag/boxes/130.mat,dropbox/Bag/labels/130.mat,dropbox/Bag/models/9413.obj,dropbox/Bag/obbs/9413.obb,dropbox/Bag/ops/130.mat,dropbox/Bag/part mesh indices/130.mat,dropbox/Bag/syms/130.mat
Bag_131,dropbox/Bag/boxes/131.mat,dropbox/Bag/labels/131.mat,dropbox/Bag/models/9414.obj,dropbox/Bag/obbs/9414.obb,dropbox/Bag/ops/131.mat,dropbox/Bag/part mesh indices/131.mat,dropbox/Bag/syms/131.mat
Bag_132,dropbox/Bag/boxes/132.mat,dropbox/Bag/labels/132.mat,dropbox/Bag/models/9427.obj,dropbox/Bag/obbs/9427.obb,dropbox/Bag/ops/132.mat,dropbox/Bag/part mesh indices/132.mat,dropbox/Bag/syms/132.mat
Bag_133,dropbox/Bag/boxes/133.mat,dropbox/Bag/labels/133.mat,dropbox/Bag/models/9428.obj,dropbox/Bag/obbs/9428.obb,dropbox/Bag/ops/133.mat,dropbox/Bag/part mesh indices/133.mat,dropbox/Bag/syms/133.mat
Bag_134,dropbox/Bag/boxes/134.mat,dropbox/Bag/labels/134.mat,dropbox/Bag/models/9429.obj,dropbox/Bag/obbs/9429.obb,dropbox/Bag/ops/134.mat,dropbox/Bag/part mesh indices/134.mat,dropbox/Bag/syms/134.mat
